country,todayCases,todayDeaths,cases,active,recovered,critical,deaths,totalTests,casesPerOneMillion,deathsPerOneMillion,testsPerOneMillion
North America,681,28,500901,450908,32299,10968,17694,0,0,0,0
Europe,287,12,779139,527967,185342,30360,65830,0,0,0,0
Asia,584,10,264481,125082,129493,6436,9906,0,0,0,0
South America,57,5,39662,33913,4129,1128,1620,0,0,0,0
Oceania,45,3,7522,4106,3361,86,55,0,0,0,0
Africa,37,2,12917,10585,1698,155,634,0,0,0,0
,0,0,721,89,619,10,13,0,0,0,0
World,1691,60,1605343,1152650,356941,49143,95752,0,206,12,0
USA,329,6,468895,426270,25928,10011,16697,2376977,1417,50,7181
Spain,0,0,153222,85610,52165,7371,15447,355000,3277,330,7593
Italy,0,0,143626,96877,28470,3605,18279,853369,2375,302,14114
Germany,0,0,118235,63221,52407,4895,2607,1317887,1411,31,15730
France,0,0,117749,82333,23206,7066,12210,333807,1804,187,5114
Iran,0,0,66220,29801,32309,3918,4110,231393,788,49,2755
UK,0,0,65077,56964,135,1559,7978,298169,959,118,4392
Turkey,0,0,42282,39232,2142,1552,908,276338,501,11,3277
Belgium,0,0,24983,17296,5164,1285,2523,84248,2156,218,7269
Switzerland,0,0,24051,12503,10600,386,948,178500,2779,110,20625
Netherlands,0,0,21762,19116,250,1424,2396,101534,1270,140,5926
Canada,0,0,20765,14945,5311,518,509,370315,550,13,9812
Brazil,31,3,18176,17046,173,296,957,62985,86,5,296
Portugal,0,0,13956,13342,205,241,409,140368,1369,40,13766
Austria,27,0,13271,7736,5240,266,295,126287,1474,33,14022
S. Korea,27,4,10450,3125,7117,55,208,503051,204,4,9812
Russia,0,0,10131,9357,698,8,76,1004719,69,0,6885
Israel,0,0,9968,8871,1011,166,86,117339,1152,10,13557
Sweden,0,0,9141,8143,205,719,793,54700,905,79,5416
India,46,1,6771,5908,635,0,228,177584,5,0,129
Ireland,0,0,6574,6286,25,165,263,53000,1331,53,10734
Norway,0,0,6219,6079,32,78,108,121034,1147,20,22326
Australia,0,2,6152,3112,2987,81,53,330134,241,2,12946
Chile,0,0,5972,4641,1274,360,57,68353,312,3,3576
Denmark,0,0,5635,3662,1736,120,237,64002,973,41,11050
Poland,0,0,5575,5117,284,160,174,107597,147,5,2843
