State,Statecode,confirmed,active,recovered,deaths,today confirmed,today recovered,today death,update time
Total,TT,6821,5951,641,229,92,6,3,10/04/2020 11:40:24
Maharashtra,MH,1364,1141,125,98,0,0,1,10/04/2020 01:20:24
Tamil Nadu,TN,834,799,27,8,0,0,0,09/04/2020 18:30:27
Delhi,DL,720,683,25,12,0,0,0,09/04/2020 20:20:26
Telangana,TG,471,414,45,12,0,0,0,09/04/2020 23:35:25
Rajasthan,RJ,489,426,60,3,26,0,0,10/04/2020 10:35:26
Kerala,KL,357,258,97,2,0,0,0,09/04/2020 18:10:35
Uttar Pradesh,UP,410,375,31,4,0,0,0,09/04/2020 20:35:25
Andhra Pradesh,AP,365,350,10,5,2,0,0,10/04/2020 10:50:25
Madhya Pradesh,MP,412,354,25,33,1,0,0,10/04/2020 11:35:24
Karnataka,KA,197,161,30,6,0,0,0,09/04/2020 17:35:25
Gujarat,GJ,308,259,30,19,46,4,1,10/04/2020 11:40:27
Haryana,HR,170,136,32,2,0,0,0,09/04/2020 12:51:40
Jammu and Kashmir,JK,184,174,6,4,0,0,0,09/04/2020 19:35:27
Punjab,PB,130,102,18,10,0,0,0,09/04/2020 15:05:38
West Bengal,WB,116,95,16,5,13,0,0,10/04/2020 10:00:25
Odisha,OR,48,45,2,1,0,0,0,10/04/2020 09:50:25
Bihar,BR,60,44,15,1,2,0,0,10/04/2020 10:35:27
Uttarakhand,UT,35,30,5,0,0,0,0,08/04/2020 21:20:26
Assam,AS,29,28,0,1,0,0,1,10/04/2020 10:20:25
Chandigarh,CH,18,11,7,0,0,0,0,07/04/2020 22:35:25
Himachal Pradesh,HP,28,24,2,2,0,0,0,09/04/2020 10:50:40
Ladakh,LA,15,4,11,0,1,1,0,10/04/2020 11:20:26
Andaman and Nicobar Islands,AN,11,1,10,0,0,0,0,30/03/2020 11:27:27
Chhattisgarh,CT,18,9,9,0,0,0,0,09/04/2020 10:50:42
Goa,GA,7,6,1,0,0,1,0,04/04/2020 09:42:27
Puducherry,PY,5,4,1,0,0,0,0,07/04/2020 17:24:56
Jharkhand,JH,14,13,0,1,1,0,0,10/04/2020 10:20:26
Manipur,MN,2,1,1,0,0,0,0,06/04/2020 22:35:54
Mizoram,MZ,1,1,0,0,0,0,0,26/03/2020 07:19:29
Arunachal Pradesh,AR,1,1,0,0,0,0,0,02/04/2020 11:42:31
Dadra and Nagar Haveli,DN,1,1,0,0,0,0,0,06/04/2020 15:22:25
Tripura,TR,1,1,0,0,0,0,0,06/04/2020 22:14:41
Daman and Diu,DD,0,0,0,0,0,0,0,26/03/2020 07:19:29
Lakshadweep,LD,0,0,0,0,0,0,0,26/03/2020 07:19:29
Meghalaya,ML,0,0,0,0,0,0,0,26/03/2020 07:19:29
Nagaland,NL,0,0,0,0,0,0,0,26/03/2020 07:19:29
Sikkim,SK,0,0,0,0,0,0,0,26/03/2020 07:19:29
